                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66588,                0.41853,                0.83153,                0.90955,                 0.6597,                0.70756,                0.54528,                0.74329,                0.46426,                0.82624,             0.00051177,             0.00051177,             0.00051177
                     37,                0.65512,                0.42038,                0.83186,                0.89535,                0.65213,                0.70207,                 0.5423,                0.74901,                0.48482,                 0.8272,             0.00047876,             0.00047876,             0.00047876
                     38,                0.66273,                0.44155,                0.83322,                0.89902,                0.65448,                0.72371,                0.55184,                0.76316,                 0.4899,                0.82774,             0.00044576,             0.00044576,             0.00044576
                     39,                0.67359,                0.43832,                0.82852,                0.89857,                0.65422,                0.72931,                0.55385,                0.76677,                0.48636,                0.82997,             0.00041275,             0.00041275,             0.00041275
                     40,                0.67746,                0.41102,                0.83093,                0.89686,                0.65265,                0.72429,                0.55783,                0.74915,                0.47973,                0.82739,             0.00037974,             0.00037974,             0.00037974
                     41,                0.65919,                0.45818,                0.83202,                0.89731,                0.65265,                0.71714,                 0.5543,                 0.7502,                0.46856,                0.82751,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.6497,                0.44947,                0.83167,                0.90279,                0.65553,                0.71281,                0.55489,                0.73119,                0.45524,                0.82473,             0.00031373,             0.00031373,             0.00031373
                     43,                0.63111,                 0.4633,                0.83711,                0.91156,                0.66049,                0.71786,                 0.5553,                0.73028,                0.45134,                0.82224,             0.00028072,             0.00028072,             0.00028072
                     44,                0.63906,                0.43901,                0.82837,                0.91847,                 0.6644,                0.72354,                0.55653,                0.72318,                0.45581,                0.82134,             0.00024772,             0.00024772,             0.00024772
                     45,                0.62626,                0.42179,                0.82942,                0.91898,                0.66466,                0.72355,                0.55497,                0.71772,                0.46007,                0.82095,             0.00021471,             0.00021471,             0.00021471
                     46,                0.63366,                0.42447,                0.82869,                0.92322,                0.66701,                0.72535,                0.55355,                0.72119,                0.46194,                0.82188,              0.0001817,              0.0001817,              0.0001817
                     47,                0.64643,                0.43533,                0.83311,                0.92094,                0.66571,                0.72202,                0.54778,                0.72394,                0.46083,                 0.8223,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.6251,                0.41848,                 0.8298,                0.91834,                0.66414,                0.72003,                0.54573,                0.71508,                 0.4574,                0.82178,             0.00011569,             0.00011569,             0.00011569
                     49,                0.62848,                0.41649,                 0.8297,                  0.916,                0.66284,                0.71716,                0.54347,                0.71316,                 0.4533,                0.82135,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.61834,                0.45091,                0.83071,                0.91271,                0.66101,                0.71294,                0.54057,                0.71615,                0.45567,                0.82226,             4.9677e-05,             4.9677e-05,             4.9677e-05
